Row   2 | [LCMP    ] LOADING COMPUTER                           | FUNC: MEASUREMENT INSTRUMENTS                  | MACH: LAODING COMPUTER                    | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row  77 | [WHDESF2 ] W/H WINDOWS DEFROSTING SYSTEM SUPPLY FAN NO.2 | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  78 | [ACPLACO1] A/C PLANT COMPRESSOR NO.1                  | FUNC: AIR CONDITION                            | MACH: AIR CONDITIONING PLANT              | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  79 | [ACPLACO2] A/C PLANT COMPRESSOR NO.2                  | FUNC: AIR CONDITION                            | MACH: AIR CONDITIONING PLANT              | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  80 | [AC1     ] AIR CONDITIONING UNIT 1                    | FUNC: AIR CONDITION                            | MACH: AIR CONDITIONING PLANT              | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  81 | [AC2     ] AIR CONDITIONING UNIT 2                    | FUNC: AIR CONDITION                            | MACH: AIR CONDITIONING PLANT              | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  82 | [AHU     ] AIR HANDLING UNIT                          | FUNC: AIR CONDITION                            | MACH: AIR CONDITIONING PLANT              | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  83 | [FISHUCO ] FISH ROOM UNIT COOLER                      | FUNC: REFRIGERATION                            | MACH: COLD PROVISION CHAMBER              | WISDOM_FUNC: REFRIGERATION
Row  84 | [MEATUCO ] MEAT ROOM UNIT COOLER                      | FUNC: REFRIGERATION                            | MACH: COLD PROVISION CHAMBER              | WISDOM_FUNC: REFRIGERATION
Row  85 | [PROREFC1] PROVISION REFRIGERATING PLANT COMPRESSOR NO.1 | FUNC: REFRIGERATION                            | MACH: PROVISION REFRIGERATING PLANT       | WISDOM_FUNC: REFRIGERATION
Row  86 | [PROREFC2] PROVISION REFRIGERATING PLANT COMPRESSOR NO.2 | FUNC: REFRIGERATION                            | MACH: PROVISION REFRIGERATING PLANT       | WISDOM_FUNC: REFRIGERATION
Row  87 | [PROREFP1] PROVISION REFRIGERATING PLANT NO.1         | FUNC: REFRIGERATION                            | MACH: PROVISION REFRIGERATING PLANT       | WISDOM_FUNC: REFRIGERATION
Row  88 | [PROREFP2] PROVISION REFRIGERATING PLANT NO.2         | FUNC: REFRIGERATION                            | MACH: PROVISION REFRIGERATING PLANT       | WISDOM_FUNC: REFRIGERATION
Row  89 | [VEGUCO  ] VEGETABLES ROOM UNIT COOLER                | FUNC: REFRIGERATION                            | MACH: COLD PROVISION CHAMBER              | WISDOM_FUNC: REFRIGERATION
Row  90 | [CREL    ] CREW ELEVATOR                              | FUNC: ELEVATOR                                 | MACH: ELEVATOR                            | WISDOM_FUNC: LIFTING APPLIANCES, DERRICKS, LADDERS
Row  91 | [VACT    ] VACUUM TOILET                              | FUNC: VACUUM TOILET SYSTEM & SANITARY EQUIPMENT | MACH: VACUUM TOILET                       | WISDOM_FUNC: VACUUM TOILET SYSTEM & SANITARY EQUIPMENT
Row  92 | [ANTIHEEL] ANTI-HEELING PUMP                          | FUNC: PUMP                                     | MACH: ANTI-HEELING PUMP                   | WISDOM_FUNC: PUMP
Row  93 | [FCO2ES  ] CO2 FIRE EXT. SYSTEM                       | FUNC: FIRE FIGHTING                            | MACH: CO2 EXTINGUISHING SYSTEM            | WISDOM_FUNC: FIRE FIGHTING
Row  94 | [FEP     ] EMERGENCY FIRE PUMP                        | FUNC: PUMP                                     | MACH: EMERGENCY FIRE PUMP                 | WISDOM_FUNC: PUMP
Row  95 | [LOOSEFFA] LOOSE FIRE FIGHTING APPLIANCE              | FUNC: FIRE FIGHTING                            | MACH: LOCAL FIRE EXTINGUISHING SYSTEM     | WISDOM_FUNC: FIRE FIGHTING
Row  96 | [MAHYDSHV] MANUAL HYDRAULIC SHIPSIDE VALVES           | FUNC: PIPING, VALVES, FILTERS, EJECTOR, FITTINGS | MACH: SHIP SIDE V/V & E/R PIPING & SEA CHEST | WISDOM_FUNC: SHIP SIDE VALVES
Row  97 | [RELEDGS ] REMOTE LEVEL & DRAFT GAUGING SYSTEM        | FUNC: TANK LEVEL, GAUGING & MONITORING SYSTEM  | MACH: ELEC. PNEUMATIC TYPE TANK LEVEL GAUGE | WISDOM_FUNC: TANK LEVEL, GAUGING & MONITORING SYSTEM
Row  98 | [VRCS    ] VALVE REMOTE CONTROL SYSTEM                | FUNC: HYDRAULIC CONTROL UNIT                   | MACH: VALVE REMOTE CONTROL SYSTEM         | WISDOM_FUNC: HYDRAULIC CONTROL UNIT
Row  99 | [INTSHAFT] INTERMEDIATE SHAFT                         | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: INTERMEDIATE SHAFT BEARING          | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 100 | [ME      ] MAIN ENGINE                                | FUNC: MAIN ENGINE                              | MACH: MAIN ENGINE                         | WISDOM_FUNC: MAIN ENGINE
Row 101 | [PROPEL  ] PROPELLER                                  | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: PROPELLER                           | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 102 | [PROPSHFT] PROPELLER SHAFT                            | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: INTERMEDIATE SHAFT BEARING          | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 103 | [PSHFTNUT] PROPELLER SHAFT NUT                        | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: INTERMEDIATE SHAFT BEARING          | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 104 | [STSAFT  ] STERN TUBE SEAL AFT                        | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: STERN TUBE SEAL                     | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 105 | [STSFWD  ] STERN TUBE SEAL FWD                        | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: STERN TUBE SEAL                     | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 106 | [COMBL   ] COMPOSITE BOILER                           | FUNC: BOILER                                   | MACH: COMPOSITE BOILER                    | WISDOM_FUNC: BOILER
Row 107 | [DG2.    ] DIESEL GENERATOR No.2                      | FUNC: DIESEL GENERATOR                         | MACH: DIESEL GENERATOR ENGINE             | WISDOM_FUNC: DIESEL GENERATOR
Row 108 | [DG3     ] DIESEL GENERATOR No.3                      | FUNC: DIESEL GENERATOR                         | MACH: DIESEL GENERATOR ENGINE             | WISDOM_FUNC: DIESEL GENERATOR
Row 109 | [DG1     ] DIESEL GENERATOR No1                       | FUNC: DIESEL GENERATOR                         | MACH: DIESEL GENERATOR ENGINE             | WISDOM_FUNC: DIESEL GENERATOR
Row 110 | [HYDTOPB1] HYDRAULIC TOP BRACING SYSTEM NO.1          | FUNC: MAIN ENGINE                              | MACH: MAIN ENGINE TOP BRACING             | WISDOM_FUNC: MAIN ENGINE
Row 111 | [HYDTOPB2] HYDRAULIC TOP BRACING SYSTEM NO.2          | FUNC: MAIN ENGINE                              | MACH: MAIN ENGINE TOP BRACING             | WISDOM_FUNC: MAIN ENGINE
Row 112 | [HYDTOPB3] HYDRAULIC TOP BRACING SYSTEM NO.3          | FUNC: MAIN ENGINE                              | MACH: MAIN ENGINE TOP BRACING             | WISDOM_FUNC: MAIN ENGINE
Row 113 | [HYDTOPB4] HYDRAULIC TOP BRACING SYSTEM NO.4          | FUNC: MAIN ENGINE                              | MACH: MAIN ENGINE TOP BRACING             | WISDOM_FUNC: MAIN ENGINE
Row 114 | [INTSHABE] INTERMEDIATE SHAFT BEARING                 | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: INTERMEDIATE SHAFT BEARING          | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 115 | [SED     ] SHAFT EARTHING DEVICE                      | FUNC: ELECTRONIC EQ.                           | MACH: SHAFT EARTHING DEVICE               | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row 116 | [STBAFT  ] STERN TUBE BEARING AFT                     | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: STERN TUBE BEARING                  | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 117 | [STBFWD  ] STERN TUBE BEARING FWD                     | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: STERN TUBE BEARING                  | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
Row 118 | [AXAIRRES] AUX. AIR RESERVOIR                         | FUNC: AIR RESERVOIR                            | MACH: AIR RESEVOIR                        | WISDOM_FUNC: AIR RESERVOIR
Row 119 | [5PPMBILS] BILGE SEPARATOR                            | FUNC: OIL SPILL EQUIPMENT                      | MACH: OILY BILGE SEPARATOR                | WISDOM_FUNC: OIL SPILL EQUIPMENT
Row 120 | [ADRY    ] CONTROL AIR DRYER                          | FUNC: AIR DRYER                                | MACH: AIR DRYER                           | WISDOM_FUNC: AIR DRYER
Row 121 | [EACR    ] EMERGENCY AIR COMPRESSOR                   | FUNC: AIR COMPRESSOR                           | MACH: EMERGENCY AIR COMPRESSOR            | WISDOM_FUNC: AIR COMPRESSOR
Row 122 | [LFOPR1  ] L.F.O. PURIFIER NO.1                       | FUNC: PURIFIER                                 | MACH: LFO PURIFIER                        | WISDOM_FUNC: PURIFIER
Row 123 | [LFOPR2  ] L.F.O. PURIFIER NO.2                       | FUNC: PURIFIER                                 | MACH: LFO PURIFIER                        | WISDOM_FUNC: PURIFIER
Row 124 | [MELOPUR1] M/E L.O. PURIFIER NO.1                     | FUNC: PURIFIER                                 | MACH: MAIN LO PURIFIER                    | WISDOM_FUNC: PURIFIER
Row 125 | [MELOPUR2] M/E L.O. PURIFIER NO.2                     | FUNC: PURIFIER                                 | MACH: MAIN LO PURIFIER                    | WISDOM_FUNC: PURIFIER
Row 126 | [CAMC1   ] MAIN AIR COMPR. NO.1                       | FUNC: AIR COMPRESSOR                           | MACH: AIR COMPRESSOR                      | WISDOM_FUNC: AIR COMPRESSOR
Row 127 | [CAMC2   ] MAIN AIR COMPR. NO.2                       | FUNC: AIR COMPRESSOR                           | MACH: AIR COMPRESSOR                      | WISDOM_FUNC: AIR COMPRESSOR
